,Ross,Martell,Stephen's Woods,Moyer Gould,Nelson Stokes,Crows Grove,Cates Clawson,Ferguson,Whistler Hare,Walnut Fork,McCloud,Turkey Run,Nardi,Waser,Big Walnut,Finley Woods,Fern Cliff,Chaney
Martell,17.26052529,,,,,,,,,,,,,,,,,
Stephen's Woods,21.46784804,24.23437555,,,,,,,,,,,,,,,,
Moyer Gould,18.29682305,22.21651357,18.30070956,,,,,,,,,,,,,,,
Nelson Stokes,18.55346949,22.69739618,21.39649087,18.99943505,,,,,,,,,,,,,,
Crows Grove,18.83310969,21.93548024,21.05844048,20.84801404,21.43686516,,,,,,,,,,,,,
Cates Clawson,17.59131497,21.72126786,20.7166665,18.94326339,18.43207945,17.78169642,,,,,,,,,,,,
Ferguson,25.17943978,25.15569506,26.12420018,23.65267264,26.03745456,23.8715809,24.8828489,,,,,,,,,,,
Whistler Hare,15.34775567,20.21488248,20.53686532,18.80599697,18.44009567,19.01754961,17.21192789,25.43791256,,,,,,,,,,
Walnut Fork,17.19785,21.25169879,19.97359428,19.55652038,18.4403765,21.74270114,19.30800833,24.84834931,18.62160133,,,,,,,,,
McCloud,19.18261039,22.20644543,21.59980377,20.00019908,18.63031063,22.11868242,19.2060051,27.02015339,19.44197363,19.26384567,,,,,,,,
Turkey Run,19.54675825,21.57985933,21.45081438,20.22127749,23.88643551,20.09910826,19.42183812,25.74638187,21.1723811,21.45451164,22.0094188,,,,,,,
Nardi,22.80055589,23.60796641,20.66606849,20.06111164,21.97229915,23.3240436,22.90774106,21.44870685,24.2571418,21.90462133,22.94838684,23.25186817,,,,,,
Waser,18.34018031,21.2393534,21.54761045,19.14199823,19.84979063,18.5534453,20.21716946,22.64370992,18.51998426,20.64183434,20.38876661,21.19550243,20.63828846,,,,,
Big Walnut,19.84425385,22.56985568,19.05713131,18.78319255,18.15366333,21.31688037,19.88463693,23.36426623,19.86201338,18.38116719,19.76661528,22.43978902,18.79230871,19.14650476,,,,
Finley Woods,17.64792541,20.95640727,21.72890424,19.59985195,20.98217029,20.06105019,20.00641179,23.45350393,18.16602873,19.86208603,20.47654799,20.74787381,22.40927729,18.36310468,19.74219044,,,
Fern Cliff,18.28917108,21.91247905,22.45884255,19.69041583,18.52772864,21.06795807,17.5323236,23.56231868,17.85868831,20.06068988,19.41011046,22.92028141,23.15525465,20.01120526,19.7023762,19.73400485,,
Chaney,21.65013632,24.26544476,23.86667069,21.37729084,23.16027542,23.89827703,22.43005154,28.34499397,23.23127393,24.0007007,20.64725208,21.66355987,24.90563114,22.33661257,23.32772714,21.72622223,23.52396598,
Raccoon Lake,18.79808155,22.590022,18.73271947,17.40147422,19.33313152,19.9819396,18.43831204,24.80789096,19.26551777,18.73190421,18.70305605,19.7789568,20.30832054,17.35541176,18.14276328,18.33340145,20.16290516,20.04387636
