Site-Site,Can.dist.log,Song.dist.log,Euc.dist.log
Nelson Stokes-McCloud,6.26148793,1.270220096,4.432029317
Nelson Stokes-Turkey Run,6.186515322,1.378151346,4.368688445
Nelson Stokes-Nardi,6.247892779,1.341875503,4.413050753
Nelson Stokes-Big Walnut,6.209764796,1.258964277,4.262667613
Nelson Stokes-Finley Woods,6.241777014,1.321850407,4.403518894
Nelson Stokes-Fern Cliff,6.172143001,1.267822181,4.216368798
Nelson Stokes-Chaney,6.323988229,1.36474372,4.675172564
Nelson Stokes-Raccoon Lake,6.11734091,1.286302205,3.895269687
McCloud-Turkey Run,6.210758211,1.342608574,4.65162411
McCloud-Nardi,6.282208918,1.360752162,4.720932387
McCloud-Big Walnut,6.131163604,1.29593231,3.944887808
McCloud-Finley Woods,6.266223698,1.311256744,4.64195074
McCloud-Fern Cliff,6.204353082,1.288028007,4.531873192
McCloud-Chaney,6.330750525,1.31486226,4.707149413
McCloud-Raccoon Lake,6.194520724,1.271912575,4.541523706
Turkey Run-Nardi,6.129277955,1.366457852,4.247723561
Turkey Run-Big Walnut,6.165462161,1.351018769,4.575084642
Turkey Run-Finley Woods,6.209593556,1.316973598,4.627042279
Turkey Run-Fern Cliff,6.140686501,1.360219945,4.56613575
Turkey Run-Chaney,6.299757605,1.335729824,4.838725085
Turkey Run-Raccoon Lake,6.069476432,1.296203382,4.268186181
Nardi-Big Walnut,6.240097247,1.273980138,4.643793464
Nardi-Finley Woods,6.252397632,1.350427851,4.513714769
Nardi-Fern Cliff,6.194052884,1.364649562,4.496071318
Nardi-Chaney,6.340450262,1.396297552,4.78994252
Nardi-Raccoon Lake,6.134571683,1.30767401,4.256167026
Big Walnut-Finley Woods,6.216607628,1.295395337,4.557714699
Big Walnut-Fern Cliff,6.145476726,1.294518607,4.416511115
Big Walnut-Chaney,6.288811074,1.367872427,4.674419809
Big Walnut-Raccoon Lake,6.1375943,1.258703434,4.416944657
Finley Woods-Fern Cliff,6.080655343,1.295215231,4.004161386
Finley Woods-Chaney,6.237016132,1.336984217,4.465099352
Finley Woods-Raccoon Lake,6.15395534,1.263243048,4.393581222
Fern Cliff-Chaney,6.206031551,1.371510543,4.507293758
Fern Cliff-Raccoon Lake,6.072301745,1.304553107,4.262296449
Chaney-Raccoon Lake,6.259055096,1.301981715,4.702784265
