Site-Site,Can.dist.log,Song.dist.log,Euc.dist.log
Ross-Martell,6.001291407,1.237054008,3.551827402
Ross-Stephen's Woods,6.316726869,1.331788512,4.666264322
Ross-Moyer Gould,6.29998513,1.262375688,4.559125042
Ross-Nelson Stokes,6.325100669,1.268425134,4.861788235
Ross-Crows Grove,6.187486032,1.274922036,4.349556125
Ross-Cates Clawson,6.266417985,1.245298305,4.715209036
Ross-Ferguson,6.276136076,1.401046063,4.706490379
Ross-Whistler Hare,6.187531437,1.186044877,4.411212339
Ross-Walnut Fork,6.185276057,1.235474157,4.616933702
Ross-McCloud,6.307402323,1.282907706,4.860988242
Ross-Turkey Run,6.220059162,1.291074742,4.771672487
Ross-Nardi,6.312760469,1.357945435,4.883167131
Ross-Waser,6.164934599,1.263403601,4.414791491
Ross-Big Walnut,6.283762422,1.297634774,4.860273037
Ross-Finley Woods,6.341530474,1.24669366,4.989477272
Ross-Fern Cliff,6.290768283,1.262194022,4.950357614
Ross-Chaney,6.40549406,1.335460635,5.073462664
Ross-Raccoon Lake,6.255636436,1.274113529,4.864669908
Martell-Stephen's Woods,6.304571735,1.384431834,4.632004986
Martell-Moyer Gould,6.286613183,1.346675906,4.514370506
Martell-Nelson Stokes,6.326965745,1.355976038,4.875049364
Martell-Crows Grove,6.201119524,1.341147147,4.405906722
Martell-Cates Clawson,6.271654146,1.336885171,4.743553341
Martell-Ferguson,6.268040387,1.400636322,4.688101282
Martell-Whistler Hare,6.198530078,1.305671221,4.467326411
Martell-Walnut Fork,6.186340884,1.327393652,4.632319187
Martell-McCloud,6.308207868,1.346479047,4.867552889
Martell-Turkey Run,6.223772317,1.334048609,4.79280147
Martell-Nardi,6.315396152,1.373058579,4.900129945
Martell-Waser,6.146045822,1.327141291,4.355037642
Martell-Big Walnut,6.285045305,1.353528782,4.869195637
Martell-Finley Woods,6.343271883,1.32131683,5.000004056
Martell-Fern Cliff,6.292702545,1.340691514,4.961119941
Martell-Chaney,6.406879309,1.384988256,5.08019499
Martell-Raccoon Lake,6.258090599,1.353916654,4.87944297
Stephen's-Moyer Gould,6.23981932,1.262467929,4.021140986
Stephen's-Nelson Stokes,6.449027363,1.330342553,5.015743052
Stephen's-Crows Grove,6.391115673,1.323426206,4.829508036
Stephen's-Cates Clawson,6.417922196,1.316319875,4.985880844
Stephen's-Ferguson,6.344127686,1.417043003,4.557366593
Stephen's-Whistler Hare,6.379871454,1.312534155,4.855699953
Stephen's-Walnut Fork,6.343719481,1.300456224,4.839506323
Stephen's-McCloud,6.430668336,1.334449806,4.96090504
Stephen's-Turkey Run,6.37789681,1.331443785,4.990913976
Stephen's-Nardi,6.442800589,1.315257864,5.062772145
Stephen's-Waser,6.226502726,1.333399116,4.328067166
Stephen's-Big Walnut,6.414965831,1.280057526,4.980319973
Stephen's-Finley Woods,6.461151733,1.337037826,5.109542671
Stephen's-Fern Cliff,6.423071957,1.35138737,5.075294895
Stephen's-Chaney,6.510009452,1.377791841,5.153146738
Stephen's-Raccoon Lake,6.398967896,1.272600829,5.029599897
Moyer Gould-Nelson Stokes,6.439971663,1.278740687,4.988647425
Moyer Gould-Crows Grove,6.378372642,1.319064691,4.756618135
Moyer Gould-Cates Clawson,6.407389885,1.277454798,4.941004364
Moyer Gould-Ferguson,6.341219995,1.373880221,4.571524596
Moyer Gould-Whistler Hare,6.36742954,1.274296362,4.791140121
Moyer Gould-Walnut Fork,6.332333813,1.291291585,4.797246809
Moyer Gould-McCloud,6.421605736,1.301034319,4.942019364
Moyer Gould-Turkey Run,6.366834455,1.305808589,4.953736247
Moyer Gould-Nardi,6.43340577,1.302354995,5.031734669
Moyer Gould-Waser,6.200018854,1.281987272,4.102649564
Moyer Gould-Big Walnut,6.405412447,1.273769411,4.958303415
Moyer Gould-Finley Woods,6.452372874,1.292252791,5.088675229
Moyer Gould-Fern Cliff,6.413485683,1.294254888,5.053480383
Moyer Gould-Chaney,6.502212651,1.329952666,5.139837896
Moyer Gould-Raccoon Lake,6.388716135,1.240586042,5.000872038
Nelson Stokes-Crows Grove,6.354006387,1.331161276,4.867298758
Nelson Stokes-Cates Clawson,6.299446062,1.265574334,4.677081549
Nelson Stokes-Ferguson,6.389756678,1.415598525,4.892819842
Nelson Stokes-Whistler Hare,6.31786765,1.26576317,4.7678554
Nelson Stokes-Walnut Fork,6.229000051,1.265769784,4.540654386
Nelson Stokes-McCloud,6.26148793,1.270220096,4.432029317
Nelson Stokes-Turkey Run,6.186515322,1.378151346,4.368688445
Nelson Stokes-Nardi,6.247892779,1.341875503,4.413050753
Nelson Stokes-Waser,6.349901414,1.29775593,4.929084452
Nelson Stokes-Big Walnut,6.209764796,1.258964277,4.262667613
Nelson Stokes-Finley Woods,6.241777014,1.321850407,4.403518894
Nelson Stokes-Fern Cliff,6.172143001,1.267822181,4.216368798
Nelson Stokes-Chaney,6.323988229,1.36474372,4.675172564
Nelson Stokes-Raccoon Lake,6.11734091,1.286302205,3.895269687
Crows Grove-Cates Clawson,6.277372408,1.249973191,4.587024709
Crows Grove-Ferguson,6.345906321,1.377881181,4.858934522
Crows Grove-Whistler Hare,6.160440318,1.279154558,4.180899257
Crows Grove-Walnut Fork,6.23577229,1.337313496,4.699859059
Crows Grove-McCloud,6.34336073,1.344759253,4.910222646
Crows Grove-Turkey Run,6.248747436,1.303176789,4.735509724
Crows Grove-Nardi,6.338054286,1.367803845,4.841938198
Crows Grove-Waser,6.270130324,1.268424568,4.681714704
Crows Grove-Big Walnut,6.319531189,1.328723648,4.896521941
Crows Grove-Finley Woods,6.369570572,1.302353664,4.984057121
