Site-Site,Can.dist,Song.dist,Euc.dist
Ross-Martell,1002978,17.26052529,3563.095
Ross-Stephen's Woods,2073609,21.46784804,46372.907
Ross-Moyer Gould,1995194,18.29682305,36234.731
Ross-Nelson Stokes,2113979,18.55346949,72742.502
Ross-Crows Grove,1539877,18.83310969,22364.342
Ross-Cates Clawson,1846792,17.59131497,51904.981
Ross-Ferguson,1888583,25.17943978,50873.355
Ross-Whistler Hare,1540038,15.34775567,25775.811
Ross-Walnut Fork,1532061,17.19785,41393.648
Ross-McCloud,2029562,19.18261039,72608.63
Ross-Turkey Run,1659813,19.54675825,59111.569
Ross-Nardi,2054757,22.80055589,76412.979
Ross-Waser,1461957,18.34018031,25989.115
Ross-Big Walnut,1922040,19.84425385,72489.155
Ross-Finley Woods,2195485,17.64792541,97606.17
Ross-Fern Cliff,1953297,18.28917108,89198.513
Ross-Chaney,2543865,21.65013632,118430.255
Ross-Raccoon Lake,1801509,18.79808155,73226.775
Martell-Stephen's Woods,2016377,24.23437555,42855.344
Martell-Moyer Gould,1934698,22.21651357,32686.657
Martell-Nelson Stokes,2123077,22.69739618,74997.945
Martell-Crows Grove,1588984,21.93548024,25462.833
Martell-Cates Clawson,1869193,21.72126786,55405.559
Martell-Ferguson,1853704,25.15569506,48764.22
Martell-Whistler Hare,1579538,20.21488248,29330.969
Martell-Walnut Fork,1535822,21.25169879,42886.36
Martell-McCloud,2033330,22.20644543,73714.494
Martell-Turkey Run,1674065,21.57985933,62058.528
Martell-Nardi,2067265,23.60796641,79456.594
Martell-Waser,1399735,21.2393534,22648.406
Martell-Big Walnut,1927726,22.56985568,73993.852
Martell-Finley Woods,2204306,20.95640727,100000.934
Martell-Fern Cliff,1962016,21.91247905,91436.573
Martell-Chaney,2551992,24.26544476,120280.435
Martell-Raccoon Lake,1811718,22.590022,75760.524
Stephen's-Moyer Gould,1737078,18.30070956,10498.832
Stephen's-Nelson Stokes,2812078,21.39649087,103691.475
Stephen's-Crows Grove,2461023,21.05844048,67531.755
Stephen's-Cates Clawson,2617714,20.7166665,96801.223
Stephen's-Ferguson,2208654,26.12420018,36088.314
Stephen's-Whistler Hare,2398123,20.53686532,71729.855
Stephen's-Walnut Fork,2206579,19.97359428,69104.499
Stephen's-McCloud,2695680,21.59980377,91391.339
Stephen's-Turkey Run,2387244,21.45081438,97929.599
Stephen's-Nardi,2772047,20.66606849,115550.584
Stephen's-Waser,1684623,21.54761045,21284.682
Stephen's-Big Walnut,2599955,19.05713131,95569.645
Stephen's-Finley Woods,2891690,21.72890424,128689.369
Stephen's-Fern Cliff,2648939,22.45884255,118930.952
Stephen's-Chaney,3236007,23.86667069,142280.944
Stephen's-Raccoon Lake,2505924,18.73271947,107053.26
