,Ross,Martell,Cates Clawson,Ferguson,Whistler Hare,Walnut Fork,McCloud,Turkey Run,Waser,Big Walnut,Finley Woods,Fern Cliff,Chaney
Martell,0.632389578,,,,,,,,,,,,
Cates Clawson,1.755045324,1.122655746,,,,,,,,,,,
Ferguson,0.505044996,0.127344582,1.250000328,,,,,,,,,,
Whistler Hare,0.051766203,0.580623375,1.703279121,0.453278793,,,,,,,,,
Walnut Fork,0.883269109,0.250879531,0.871776215,0.378224113,0.831502906,,,,,,,,
McCloud,0.486688772,1.11907835,2.241734096,0.991733768,0.538454975,1.369957881,,,,,,,
Turkey Run,0.443206012,0.189183566,1.311839312,0.061838984,0.391439809,0.440063097,0.929894784,,,,,,
Waser,1.064018475,0.431628897,0.691026849,0.558973479,1.012252272,0.180749366,1.550707247,0.620812463,,,,,
Big Walnut,0.247916877,0.384472701,1.507128447,0.257128119,0.196150674,0.635352232,0.734605649,0.195289135,0.816101598,,,,
Finley Woods,0.033718782,0.66610836,1.788764106,0.538763778,0.085484985,0.916987891,0.45296999,0.476924794,1.097737257,0.281635659,,,
Fern Cliff,1.05750266,0.425113082,0.697542664,0.552457664,1.005736457,0.174233551,1.544191432,0.614296648,0.006515815,0.809585783,1.091221442,,
Chaney,0.750521893,0.118132315,1.004523431,0.245476897,0.69875569,0.132747216,1.237210665,0.307315881,0.313496582,0.502605016,0.784240675,0.306980767,
Raccoon Lake,1.550241872,0.917852294,0.204803452,1.045196876,1.498475669,0.666972763,2.036930644,1.10703586,0.486223397,1.302324995,1.583960654,0.492739212,0.799719979
