from,to,weight,category
1,2,0.087124255,1
1,14,0.062438069,1
1,9,0.060873091,1
1,10,0.060671586,1
1,6,0.060225291,1
2,14,0.064714657,1
2,10,0.060480335,1
2,9,0.059540928,1
2,6,0.058596966,1
3,4,0.06073895,1
3,14,0.057377515,1
4,14,0.06377246,1
5,19,0.074170441,1
5,17,0.064828057,1
5,12,0.063592277,1
5,15,0.062067198,1
5,10,0.058893058,1
5,16,0.057037647,1
5,11,0.056693231,1
5,13,0.056446214,1
6,9,0.064111277,1
7,12,0.063950231,1
7,10,0.057358755,1
7,9,0.056758811,1
8,14,0.055663171,1
9,10,0.06045178,1
9,12,0.058853094,1
10,12,0.068211196,1
10,19,0.064452633,1
10,15,0.062912351,1
10,11,0.060671844,1
10,17,0.058329581,1
10,14,0.057330574,1
11,15,0.070717907,1
11,19,0.060298793,1
11,17,0.058345678,1
11,12,0.058286913,1
12,19,0.07373783,1
12,13,0.066945293,1
12,17,0.062746397,1
12,15,0.062270456,1
12,16,0.056129322,1
13,19,0.06622635,1
13,17,0.05750795,1
15,19,0.065808913,1
15,17,0.063861569,1
15,16,0.056585986,1
16,17,0.073161239,1
16,19,0.062925534,1
17,19,0.071669278,1
