,Ross,Stephen's Woods,Moyer Gould,Nelson Stokes,Crows Grove,Cates Clawson,Ferguson,Whistler Hare,Walnut Fork,McCloud,Turkey Run,Nardi,Waser,Big Walnut,Finley Woods,Fern Cliff,Chaney
Stephen's Woods,46372.907,,,,,,,,,,,,,,,,
Moyer Gould,36234.731,10498.832,,,,,,,,,,,,,,,
Nelson Stokes,72742.502,103691.475,97419.843,,,,,,,,,,,,,,
Crows Grove,22364.342,67531.755,57097.637,73671.372,,,,,,,,,,,,,
Cates Clawson,51904.981,96801.223,87298.014,47542.449,38638.896,,,,,,,,,,,,
Ferguson,50873.355,36088.314,37284.18,78130.363,72266.084,87549.727,,,,,,,,,,,
Whistler Hare,25775.811,71729.855,61821.583,58594.304,15166.985,26511.192,68653.278,,,,,,,,,,
Walnut Fork,41393.648,69104.499,62697.007,34725.97,50102.461,45011.087,47181.585,37701.461,,,,,,,,,
McCloud,72608.63,91391.339,87502.279,27041.409,81324.733,66661.436,59906.63,67862.515,31703.681,,,,,,,,
Turkey Run,59111.569,97929.599,89895.147,23371.6,54388.831,24178.461,79830.292,39353.181,32723.75,44835.716,,,,,,,
Nardi,76412.979,115550.584,107580.775,25885.154,69492.542,33508.921,96062.123,54982.884,48971.173,52593.538,17689.826,,,,,,
Waser,25989.115,21284.682,12666.294,84934.562,48052.358,75531.038,32391.301,50724.163,50243.005,76179.999,77274.907,94954.996,,,,,
Big Walnut,72489.155,95569.645,90845.499,18309.126,78799.224,60431.327,65872.206,64627.662,31115.355,8808.213,37591.066,44034.54,79016.478,,,,
Finley Woods,97606.17,128689.369,122652.168,25323.218,96395.58,64613.438,101420.767,81239.994,59967.093,43848.096,42368.421,32637.341,110207.7,36117.252,,,
Fern Cliff,89198.513,118930.952,113104.63,16457.687,89563.083,60395.433,91334.316,74414.112,50528.709,34030.881,36824.406,31338.003,100737.795,26092.225,10096.28,,
Chaney,118430.255,142280.944,137986.912,47333.93,120989.742,92454.369,110421.997,105927.446,77653.623,50950.613,68980.301,61651.34,126254.335,47251.958,29180.945,32158.35,
Raccoon Lake,73226.775,107053.26,100200.996,7857.234,71753.884,42359.113,83364.518,56587.474,38040.803,34795.55,18543.264,18037.113,87585.252,26118.285,24750.343,18293.485,50441.067
