,Ross,Martell,Cates Clawson,Ferguson,Whistler Hare,Walnut Fork,McCloud,Turkey Run,Waser,Big Walnut,Finley Woods,Fern Cliff,Chaney
Martell,1002978,,,,,,,,,,,,
Cates Clawson,1846792,1869193,,,,,,,,,,,
Ferguson,1888583,1853704,2303379,,,,,,,,,,
Whistler Hare,1540038,1579538,1665380,2127911,,,,,,,,,
Walnut Fork,1532061,1535822,1617940,1843566,1564413,,,,,,,,
McCloud,2029562,2033330,2019483,2312520,2039784,1588681,,,,,,,
Turkey Run,1659813,1674065,1402764,2048288,1575836,1301100,1624644,,,,,,
Waser,1461957,1399735,2034542,1735049,1805484,1634120,2126731,1809293,,,,,
Big Walnut,1922040,1927726,1876194,2226294,1916807,1481471,1352582,1463734,2029115,,,,
Finley Woods,2195485,2204306,2072626,2531124,2161991,1780197,1845966,1620293,2318178,1646674,,,
Fern Cliff,1953297,1962016,1833832,2288016,1920830,1536523,1600859,1382568,2075501,1397902,1204080,,
Chaney,2543865,2551992,2438143,2872503,2516611,2123358,2141660,1994149,2663093,1944514,1725902,1607058,
Raccoon Lake,1801509,1811718,1648557,2151425,1755946,1395024,1565023,1173482,1931182,1372759,1425461,1181141,1815746
