,Ross,Stephen's Woods,Moyer Gould,Nelson Stokes,Crows Grove,Cates Clawson,Ferguson,Whistler Hare,Walnut Fork,McCloud,Turkey Run,Nardi,Waser,Big Walnut,Finley Woods,Fern Cliff,Chaney
Stephen's Woods,2073609,,,,,,,,,,,,,,,,
Moyer Gould,1995194,1737078,,,,,,,,,,,,,,,
Nelson Stokes,2113979,2812078,2754049,,,,,,,,,,,,,,
Crows Grove,1539877,2461023,2389861,2259469,,,,,,,,,,,,,
Cates Clawson,1846792,2617714,2554994,1992719,1893967,,,,,,,,,,,,
Ferguson,1888583,2208654,2193916,2453334,2217718,2303379,,,,,,,,,,,
Whistler Hare,1540038,2398123,2330395,2079063,1446906,1665380,2127911,,,,,,,,,,
Walnut Fork,1532061,2206579,2149482,1694338,1720966,1617940,1843566,1564413,,,,,,,,,
McCloud,2029562,2695680,2640011,1825946,2204757,2019483,2312520,2039784,1588681,,,,,,,,
Turkey Run,1659813,2387244,2327204,1536439,1773158,1402764,2048288,1575836,1301100,1624644,,,,,,,
Nardi,2054757,2772047,2712725,1769672,2177982,1822124,2425886,1986006,1678549,1915177,1346722,,,,,,
Waser,1461957,1684623,1584962,2238213,1862646,2034542,1735049,1805484,1634120,2126731,1809293,2195571,,,,,
Big Walnut,1922040,2599955,2543387,1620932,2087042,1876194,2226294,1916807,1481471,1352582,1463734,1738190,2029115,,,,
Finley Woods,2195485,2891690,2833824,1744926,2341912,2072626,2531124,2161991,1780197,1845966,1620293,1788124,2318178,1646674,,,
Fern Cliff,1953297,2648939,2591109,1486425,2100399,1833832,2288016,1920830,1536523,1600859,1382568,1563338,2075501,1397902,1204080,,
Chaney,2543865,3236007,3178430,2108571,2694395,2438143,2872503,2516611,2123358,2141660,1994149,2190031,2663093,1944514,1725902,1607058,
Raccoon Lake,1801509,2505924,2447463,1310210,1940007,1648557,2151425,1755946,1395024,1565023,1173482,1363238,1931182,1372759,1425461,1181141,1815746
